RESULTS FOR heuristics : 20
rat195_n194_uncorr_01.ttp: 866.0 7955.0 26445.0 2446 3329.8031681406287 6233.094769386382 849
rat195_n194_uncorr_01.ttp: 1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,749
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,599178
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,598663
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,599053
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,599360
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,598943
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,598623
rat195_n194_uncorr_01.ttp:,1422.0,7399.0,27047.0,2453,3140.2283300186787,7985.814036786618,599402
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,599242
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,598843
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,598577
rat195_n194_uncorr_01.ttp:,1422.0,7399.0,27047.0,2453,3140.2283300186787,7985.814036786618,599570
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,599047
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,599120
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,598768
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,599136
rat195_n194_uncorr_01.ttp:,1171.0,7650.0,28234.0,2458,3370.802778826111,7773.227132525506,598716

rat195_n194_uncorr-similar-weights_01.ttp
Instance,:rat195_n194_uncorr-similar-weights_01.ttp
RESULTS,FOR,heuristics,:,20
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3269.0295182141112,3838.0608188005863,784
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,350
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,720
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,532
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3269.0295182141112,3838.0608188005863,535
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,612
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13852.0,2446,3075.7456956958717,3517.494462461871,895
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3269.0295182141112,3838.0608188005863,582
rat195_n194_uncorr-similar-weights_01.ttp:,628.0,17091.0,14779.0,2446,3267.888004456043,3798.896305027696,559
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,625
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13852.0,2449,3086.559071541072,3481.1615196219973,431
rat195_n194_uncorr-similar-weights_01.ttp:,653.0,17066.0,13874.0,2452,3084.3494322465144,3510.5859076517118,348
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3255.80760676731,3882.486441261839,410
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3255.80760676731,3882.486441261839,321
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3269.0295182141112,3838.0608188005863,735
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,336
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,546
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3269.0295182141112,3838.0608188005863,605
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,755
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2450,3277.1554741830446,3810.75760674497,691
rat195_n194_uncorr-similar-weights_01.ttp:,628.0,17091.0,14787.0,2449,3257.472084387308,3841.8937964586457,508
rat195_n194_uncorr-similar-weights_01.ttp:,628.0,17091.0,14787.0,2449,3270.7258546537278,3797.3611283634746,560
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3255.80760676731,3882.486441261839,608
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13852.0,2446,3075.7456956958717,3517.494462461871,674
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13852.0,2446,3075.7456956958717,3517.494462461871,550
rat195_n194_uncorr-similar-weights_01.ttp:,653.0,17066.0,13874.0,2452,3084.3494322465144,3510.5859076517118,555
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3269.0295182141112,3838.0608188005863,581
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,667
rat195_n194_uncorr-similar-weights_01.ttp:,632.0,17087.0,14822.0,2448,3269.0295182141112,3838.0608188005863,631
rat195_n194_uncorr-similar-weights_01.ttp:,656.0,17063.0,13688.0,2448,3034.826584210265,3490.982677053509,666
RESULTS,FOR,heuristics,:,24
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599731
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599493
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598980
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599354
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598462
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599395
rat195_n194_uncorr-similar-weights_01.ttp:,641.0,17078.0,15076.0,2450,3245.080112209788,4172.530822975114,598939
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599585
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598970
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599197
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599163
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599070
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599076
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599203
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599123
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599178
rat195_n194_uncorr-similar-weights_01.ttp:,641.0,17078.0,15076.0,2450,3245.080112209788,4172.530822975114,599435
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599449
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598880
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599230
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598887
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599281
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599244
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599505
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599359
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598933
rat195_n194_uncorr-similar-weights_01.ttp:,641.0,17078.0,15076.0,2450,3245.080112209788,4172.530822975114,598759
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598908
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,599346
rat195_n194_uncorr-similar-weights_01.ttp:,639.0,17080.0,15000.0,2452,3205.9001291626564,4228.175566013475,598789

rat195_n194_bounded-strongly-corr_01.ttp
Instance,:rat195_n194_bounded-strongly-corr_01.ttp
RESULTS,FOR,heuristics,:,20
rat195_n194_bounded-strongly-corr_01.ttp:,111.0,17065.0,26265.0,2446,3525.6555220088026,11704.042694103646,851
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,808
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2449,3689.4176372168713,11355.705158294322,978
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,384
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,354
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2449,3689.316729570224,11356.121906874974,639
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,680
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2446,3677.845142520213,11403.499561391522,720
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2446,3677.845142520213,11403.499561391522,677
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2451,3638.617978789639,11141.507747598791,759
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2446,3677.845142520213,11403.499561391522,457
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2446,3677.845142520213,11403.499561391522,704
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2449,3689.316729570224,11356.121906874974,855
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,754
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,682
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,660
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,659
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,349
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,622
rat195_n194_bounded-strongly-corr_01.ttp:,3.0,17173.0,25373.0,2452,3392.2831010538634,11362.870792647544,285
rat195_n194_bounded-strongly-corr_01.ttp:,60.0,17116.0,25916.0,2449,3367.5118629081067,12008.17600618952,573
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,352
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,826
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,806
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,884
rat195_n194_bounded-strongly-corr_01.ttp:,33.0,17143.0,25943.0,2448,3432.6184608101553,11766.285756854058,453
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,850
rat195_n194_bounded-strongly-corr_01.ttp:,407.0,16769.0,26169.0,2448,3576.382486421589,11398.540331078839,801
rat195_n194_bounded-strongly-corr_01.ttp:,183.0,16993.0,26593.0,2446,3677.845142520213,11403.499561391522,678
rat195_n194_bounded-strongly-corr_01.ttp:,111.0,17065.0,26265.0,2446,3525.6555220088026,11704.042694103646,836
RESULTS,FOR,heuristics,:,24
rat195_n194_bounded-strongly-corr_01.ttp:,2.0,17174.0,25274.0,2456,3158.190865897697,12230.671723842512,599158
rat195_n194_bounded-strongly-corr_01.ttp:,6.0,17170.0,25470.0,2450,3250.7657090850507,12044.33762147874,599004
rat195_n194_bounded-strongly-corr_01.ttp:,2.0,17174.0,25274.0,2456,3158.190865897697,12230.671723842512,599393
rat195_n194_bounded-strongly-corr_01.ttp:,28.0,17148.0,25448.0,2454,3232.999834509895,12095.710683474133,599179
rat195_n194_bounded-strongly-corr_01.ttp:,98.0,17078.0,25378.0,2452,3204.2937801282933,12144.266688070149,599595
rat195_n194_bounded-strongly-corr_01.ttp:,98.0,17078.0,25378.0,2453,3145.3371904036635,12387.75740363287,599191
rat195_n194_bounded-strongly-corr_01.ttp:,98.0,17078.0,25378.0,2453,3143.7222435111426,12394.427134298981,598914
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,599412
rat195_n194_bounded-strongly-corr_01.ttp:,98.0,17078.0,25378.0,2453,3143.7222435111426,12394.427134298981,599483
rat195_n194_bounded-strongly-corr_01.ttp:,35.0,17141.0,26141.0,2456,3373.405534573742,12208.835142210446,598659
rat195_n194_bounded-strongly-corr_01.ttp:,7.0,17169.0,25969.0,2453,3371.5666138236675,12044.429884908253,599406
rat195_n194_bounded-strongly-corr_01.ttp:,35.0,17141.0,26141.0,2456,3373.405534573742,12208.835142210446,598975
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,599129
rat195_n194_bounded-strongly-corr_01.ttp:,6.0,17170.0,25470.0,2450,3250.7657090850507,12044.33762147874,599025
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,599266
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,598831
rat195_n194_bounded-strongly-corr_01.ttp:,35.0,17141.0,26141.0,2456,3373.405534573742,12208.835142210446,598972
rat195_n194_bounded-strongly-corr_01.ttp:,6.0,17170.0,25470.0,2450,3248.9159009121945,12051.977329232637,599270
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,598458
rat195_n194_bounded-strongly-corr_01.ttp:,98.0,17078.0,25378.0,2452,3204.2937801282933,12144.266688070149,598872
rat195_n194_bounded-strongly-corr_01.ttp:,35.0,17141.0,26141.0,2456,3373.405534573742,12208.835142210446,599173
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,598628
rat195_n194_bounded-strongly-corr_01.ttp:,6.0,17170.0,25470.0,2450,3248.9159009121945,12051.977329232637,599314
rat195_n194_bounded-strongly-corr_01.ttp:,35.0,17141.0,26141.0,2456,3373.405534573742,12208.835142210446,599770
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,599174
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,599257
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,599038
rat195_n194_bounded-strongly-corr_01.ttp:,6.0,17170.0,25470.0,2450,3248.9159009121945,12051.977329232637,598797
rat195_n194_bounded-strongly-corr_01.ttp:,101.0,17075.0,26075.0,2452,3385.9852209046417,12090.88103766383,599242
rat195_n194_bounded-strongly-corr_01.ttp:,98.0,17078.0,25378.0,2452,3204.2937801282933,12144.266688070149,599700
