11849 11849
2977 1646 154
1646 9034 96
9034 3890 136
3890 152 32
152 6241 32
6241 4550 32
4550 2160 96
2160 7222 32
7222 10149 64
10149 7134 32
7134 10929 32
10929 5806 32
5806 10113 32
10113 6293 64
6293 4127 136
4127 9191 80
9191 1898 110
1898 11416 48
11416 11216 32
11216 7247 96
7247 2325 96
2325 11790 48
11790 9035 121
9035 7435 112
7435 3895 110
3895 1120 96
1120 8857 80
8857 95 48
95 2496 48
2496 7298 64
7298 7959 128
7959 7146 96
7146 2004 136
2004 5016 32
5016 10619 64
10619 9449 32
9449 2499 32
2499 514 155
514 830 154
830 11225 110
11225 3491 110
3491 5115 111
5115 2594 111
2594 7432 111
7432 3497 71
3497 10095 33
10095 5788 32
5788 3474 65
3474 5152 17
5152 5784 36
5784 3848 39
3848 8067 39
8067 10037 63
10037 2889 72
2889 3807 54
3807 5008 59
5008 807 80
807 11806 112
11806 2451 80
2451 8025 182
8025 2704 112
2704 2981 110
2981 7638 110
7638 5972 111
5972 725 111
725 9637 110
9637 2773 154
2773 7255 174
7255 926 32
926 1083 155
1083 4752 110
4752 6148 96
6148 6158 128
6158 8238 110
8238 5170 174
5170 7189 32
7189 1634 32
1634 711 33
711 6864 18
6864 8608 91
8608 9503 92
9503 10990 103
10990 10882 96
10882 9012 32
9012 11024 32
11024 7725 32
7725 11666 64
11666 8267 32
8267 3673 32
3673 714 32
714 9926 32
9926 5210 64
5210 1844 128
1844 88 32
88 3650 32
3650 1720 32
1720 10215 147
10215 8079 96
8079 1862 64
1862 11098 164
11098 9979 32
9979 7934 32
7934 5865 64
5865 2530 32
2530 5365 32
5365 5592 32
5592 8786 32
8786 9743 32
9743 11269 32
11269 7064 32
7064 9204 69
9204 6699 72
6699 3729 9
3729 9341 115
9341 10343 159
10343 9057 28
9057 1205 50
1205 3631 37
3631 2369 32
2369 9206 32
9206 11576 96
11576 6069 85
6069 2640 32
2640 5692 69
5692 4613 65
4613 10354 32
10354 6103 32
6103 3417 32
3417 5791 64
5791 3761 32
3761 8971 32
8971 270 32
270 105 32
105 8572 32
8572 3267 64
3267 10116 32
10116 9097 32
9097 3172 32
3172 3916 32
3916 8040 128
8040 10716 85
10716 7514 32
7514 5911 32
5911 2753 64
2753 9589 32
9589 3002 32
3002 2357 32
2357 4157 64
4157 6101 64
6101 9883 32
9883 9859 64
9859 5257 32
5257 2001 32
2001 8117 32
8117 8204 32
8204 7404 69
7404 5251 34
5251 6297 190
6297 11154 94
11154 3449 98
3449 5081 176
5081 6686 96
6686 10283 64
10283 8877 32
8877 6481 32
6481 1534 32
1534 5915 96
5915 5859 64
5859 4934 64
4934 446 130
446 6669 92
6669 6783 110
6783 5025 224
5025 1320 64
1320 11745 64
11745 9507 85
9507 131 170
131 1536 110
1536 4107 80
4107 2308 146
2308 8791 110
8791 2113 112
2113 7254 87
7254 3266 111
3266 7710 96
7710 4960 110
4960 9810 53
9810 9824 141
9824 6412 108
6412 3747 17
3747 5691 37
5691 10269 96
10269 11138 32
11138 4904 32
4904 698 32
698 10830 64
10830 4053 32
4053 10099 32
10099 7570 32
7570 1670 32
1670 7251 69
7251 6074 99
6074 3796 28
3796 448 130
448 7878 32
7878 9168 32
9168 8199 32
8199 1259 32
1259 9 184
9 6615 32
6615 7401 32
7401 7983 32
7983 6466 32
6466 3414 64
3414 1950 32
1950 5777 69
5777 9982 37
9982 11686 89
11686 10027 81
10027 8020 33
8020 5286 64
5286 11474 69
11474 1798 32
1798 3945 32
3945 4265 32
4265 10933 32
10933 11179 195
11179 1500 32
1500 6874 32
6874 10759 69
10759 8147 33
8147 770 113
770 866 59
866 1768 96
1768 474 117
474 5175 107
5175 678 110
678 3077 110
3077 5262 139
5262 9896 56
9896 11796 33
11796 11454 32
11454 4178 141
4178 2585 110
2585 5279 112
5279 7910 117
7910 6606 80
6606 5474 112
5474 5852 110
5852 11349 110
11349 1341 110
1341 1698 128
1698 5810 110
5810 10846 110
10846 9236 110
9236 9244 110
9244 3977 107
3977 4595 27
4595 8588 65
8588 42 32
42 4947 32
4947 10490 32
10490 10573 64
10573 10997 32
10997 4256 32
4256 121 32
121 2110 32
2110 705 132
705 3564 43
3564 7319 75
7319 5187 130
5187 5596 144
5596 7067 146
7067 3887 96
3887 5951 64
5951 6138 160
6138 3177 128
3177 7131 96
7131 2860 224
2860 6528 128
6528 10080 64
10080 3742 64
3742 11226 64
11226 145 111
145 11318 87
11318 2038 9
2038 9782 123
9782 3659 96
3659 1118 128
1118 11563 110
11563 8839 128
8839 3826 96
3826 5924 110
5924 7717 64
7717 8468 32
8468 10906 64
10906 5137 64
5137 2182 80
2182 3140 80
3140 5171 32
5171 414 32
414 11076 48
11076 9091 48
9091 3705 110
3705 6083 96
6083 155 64
155 7007 110
7007 11448 64
11448 9864 96
9864 6218 192
6218 7350 64
7350 8879 64
8879 6342 110
6342 11443 64
11443 6089 64
6089 10579 110
10579 313 32
313 6546 32
6546 2132 32
2132 7868 32
7868 11375 96
11375 2300 96
2300 2248 80
2248 4238 137
4238 4109 110
4109 2013 160
2013 8637 64
8637 7777 96
7777 4724 110
4724 4683 96
4683 5121 64
5121 4865 110
4865 654 32
654 8028 32
8028 9205 48
9205 2425 48
2425 6935 96
6935 3766 96
3766 7190 154
7190 6865 110
6865 7398 110
7398 5685 110
5685 11661 110
11661 1962 154
1962 1639 130
1639 2500 111
2500 3746 32
3746 801 32
801 2179 224
2179 9008 96
9008 965 32
965 2054 32
2054 10877 32
10877 71 44
71 7477 54
7477 6044 37
6044 9022 32
9022 7524 32
7524 7494 64
7494 11422 64
11422 8569 32
8569 7466 160
7466 9731 128
9731 8917 64
8917 10543 32
10543 2887 32
2887 699 32
699 11541 128
11541 4350 96
4350 8913 32
8913 7941 32
7941 5992 128
5992 11147 32
11147 2747 32
2747 7234 32
7234 11132 69
11132 1822 37
1822 2118 32
2118 4535 130
4535 4588 76
4588 10129 112
10129 8630 96
8630 6536 80
6536 11433 48
11433 5926 64
5926 158 192
158 1073 32
1073 603 64
603 3349 64
3349 11406 80
11406 1673 112
1673 8667 32
8667 905 32
905 10893 32
10893 2323 64
2323 11814 59
11814 11684 94
11684 4033 73
4033 529 89
529 52 150
52 4582 37
4582 7402 69
7402 11009 32
11009 1312 32
1312 10650 33
10650 8771 39
8771 5809 60
5809 8519 64
8519 301 130
301 4805 59
4805 1717 96
1717 10804 28
10804 5027 70
5027 1590 33
1590 9932 44
9932 11572 27
11572 3700 44
3700 3391 105
3391 11630 69
11630 6008 88
6008 10514 71
10514 3409 94
3409 7148 33
7148 10525 32
10525 3948 81
3948 10442 42
10442 11748 51
11748 668 32
668 8708 95
8708 2173 52
2173 8695 71
8695 7243 111
7243 11412 80
11412 9747 110
9747 938 80
938 7719 110
7719 4961 80
4961 3329 110
3329 2204 80
2204 10040 110
10040 9922 80
9922 1178 110
1178 1316 80
1316 2447 128
2447 4884 110
4884 7478 110
7478 5831 110
5831 11729 59
11729 4139 111
4139 5664 64
5664 10248 110
10248 1358 64
1358 3460 64
3460 9578 64
9578 11535 64
11535 782 128
782 606 110
606 11699 111
11699 9973 55
9973 774 44
774 2268 32
2268 8509 32
8509 2833 64
2833 1675 69
1675 6426 33
6426 6503 64
6503 1173 32
1173 5617 33
5617 400 75
400 6822 71
6822 221 44
221 1623 32
1623 6105 69
6105 5697 39
5697 4184 50
4184 4046 61
4046 6487 43
6487 3253 44
3253 4634 43
4634 1725 136
1725 8905 91
8905 10358 111
10358 842 100
842 11264 32
11264 11636 89
11636 7469 194
7469 4789 92
4789 4768 43
4768 1112 107
1112 8699 102
8699 7839 59
7839 2241 96
2241 8981 110
8981 4925 60
4925 10069 111
10069 377 64
377 989 110
989 9335 64
9335 983 110
983 11360 64
11360 7024 110
7024 7273 64
7273 5737 110
5737 3366 64
3366 6978 110
6978 5514 64
5514 677 146
677 7242 96
7242 11823 32
11823 5227 32
5227 652 64
652 26 91
26 4272 111
4272 1142 110
1142 10402 110
10402 2035 110
2035 10981 48
10981 9537 121
9537 9505 110
9505 5487 123
5487 2344 57
2344 832 71
832 5511 105
5511 10331 116
10331 6662 110
6662 4491 110
4491 8976 110
8976 1339 110
1339 10603 110
10603 900 123
900 5314 92
5314 1610 84
1610 2788 59
2788 3925 78
3925 6996 18
6996 11501 78
11501 2779 17
2779 6122 98
6122 6540 64
6540 198 64
198 3636 64
3636 2138 32
2138 4544 111
4544 5056 149
5056 6299 64
6299 8655 128
8655 4851 110
4851 1334 128
1334 5904 96
5904 7900 96
7900 738 64
738 9311 64
9311 8424 64
8424 9414 64
9414 648 64
648 802 96
802 2616 96
2616 5013 110
5013 11171 64
11171 2710 32
2710 2376 48
2376 8880 60
8880 8263 68
8263 798 91
798 6006 32
6006 2940 32
2940 7645 64
7645 4212 32
4212 1059 81
1059 8919 27
8919 2605 71
2605 8819 85
8819 7068 65
7068 987 65
987 4499 32
4499 4201 32
4201 4155 32
4155 1454 32
1454 4859 94
4859 10168 43
10168 1736 28
1736 4194 41
4194 7578 107
7578 8510 64
8510 321 60
321 9257 62
9257 10977 64
10977 2430 64
2430 2134 64
2134 1488 64
1488 6193 144
6193 2265 80
2265 8133 64
8133 5613 96
5613 3960 32
3960 7501 32
7501 9709 48
9709 8289 48
8289 4007 32
4007 8689 32
8689 2011 48
2011 7300 48
7300 7956 48
7956 2006 48
2006 5216 64
5216 9499 32
9499 10476 96
10476 9521 150
9521 7870 27
7870 10437 44
10437 8671 116
8671 7662 80
7662 925 64
925 6464 64
6464 53 48
53 5486 80
5486 8481 32
8481 3857 32
3857 11734 64
11734 2332 64
2332 1421 96
1421 5119 32
5119 7020 64
7020 2082 64
2082 7631 48
7631 4532 48
4532 9278 80
9278 8321 80
8321 10572 32
10572 3149 64
3149 10055 48
10055 252 48
252 5202 32
5202 5573 32
5573 11439 32
11439 5846 112
5846 5127 121
5127 10103 48
10103 4548 48
4548 8396 48
8396 7430 48
7430 1665 32
1665 10075 64
10075 3809 64
3809 8048 64
8048 5637 32
5637 704 32
704 1575 96
1575 9087 32
9087 3695 32
3695 2609 32
2609 10291 32
10291 526 32
526 7264 32
7264 2534 32
2534 10614 28
10614 6115 50
6115 4356 59
4356 5316 33
5316 3683 65
3683 5281 32
5281 2068 32
2068 8597 64
8597 3929 64
3929 777 225
777 765 44
765 878 32
878 3571 32
3571 7684 32
7684 8330 32
8330 7409 157
7409 10255 112
10255 2843 96
2843 9058 32
9058 5650 32
5650 9699 32
9699 6491 32
6491 537 32
537 8520 32
8520 9722 32
9722 5899 111
5899 2688 108
2688 9230 64
9230 2327 64
2327 7969 64
7969 646 96
646 1893 110
1893 8685 85
8685 8936 85
8936 3281 110
3281 5516 32
5516 2228 48
2228 1550 96
1550 337 73
337 11146 73
11146 1144 96
1144 4196 73
4196 6482 85
6482 2488 64
2488 3655 64
3655 3288 64
3288 7491 64
7491 6236 80
6236 9876 73
9876 4673 73
4673 9363 73
9363 7736 85
7736 10151 64
10151 7865 64
7865 4085 112
4085 6774 110
6774 7176 98
7176 10856 73
10856 11679 73
11679 8399 73
8399 5570 112
5570 9076 110
9076 6983 96
6983 5322 64
5322 5294 64
5294 11616 241
11616 8110 32
8110 3113 32
3113 7740 64
7740 8706 32
8706 5774 64
5774 4000 32
4000 4135 96
4135 3764 160
3764 170 64
170 5225 32
5225 4101 114
4101 5767 65
5767 10576 64
10576 8744 32
8744 9413 96
9413 3979 96
3979 5288 85
5288 8852 32
8852 7333 32
7333 10936 64
10936 3428 32
3428 6678 64
6678 1949 32
1949 5867 32
5867 8276 69
8276 8015 33
8015 7042 85
7042 336 64
336 2945 64
2945 3400 32
3400 768 32
768 7038 64
7038 7235 32
7235 2197 32
2197 2238 32
2238 487 64
487 2674 64
2674 9579 89
9579 8484 163
8484 9295 32
9295 3359 33
3359 4666 84
4666 2419 96
2419 7668 32
7668 3030 133
3030 10867 89
10867 7139 69
7139 10293 79
10293 10024 32
10024 10135 69
10135 5995 74
5995 10378 69
10378 3752 64
3752 4023 101
4023 1784 64
1784 9392 32
9392 7075 32
7075 176 32
176 5033 32
5033 9249 114
9249 10870 158
10870 6406 69
6406 3435 96
3435 4751 160
4751 10408 32
10408 7819 32
7819 1411 89
1411 6860 193
6860 8352 69
8352 5355 78
5355 3678 89
3678 4641 43
4641 2029 64
2029 9571 64
9571 9794 32
9794 2964 32
2964 11791 160
11791 4816 64
4816 1674 32
1674 399 32
399 4644 64
4644 8187 78
8187 5850 311
5850 10986 43
10986 1632 131
1632 8122 96
8122 3921 106
3921 7547 69
7547 3913 32
3913 10536 32
10536 4590 33
4590 1357 69
1357 9780 64
9780 300 32
300 9029 96
9029 4451 32
4451 9513 172
9513 812 32
812 1399 64
1399 6799 55
6799 2754 114
2754 8796 32
8796 10352 123
10352 1928 64
1928 9935 123
9935 2826 96
2826 4505 32
4505 3033 128
3033 6287 32
6287 345 64
345 2331 64
2331 5403 64
5403 9080 128
9080 9115 32
9115 10160 32
10160 2024 32
2024 6952 64
6952 4379 85
4379 1878 289
1878 7043 32
7043 4333 1134
4333 5785 163
5785 8674 32
8674 7810 302
7810 7966 160
7966 4266 81
4266 5790 128
5790 1150 160
1150 585 64
585 8381 64
8381 10145 96
10145 10345 128
10345 2552 128
2552 1643 166
1643 5720 45
5720 7667 60
7667 6636 59
6636 5032 235
5032 3502 32
3502 6258 89
6258 3980 100
3980 2468 60
2468 2986 48
2986 11486 80
11486 7582 32
7582 3448 32
3448 10072 27
10072 2055 123
2055 6853 85
6853 3105 32
3105 1181 33
1181 9630 78
9630 11622 64
11622 5561 59
5561 419 456
419 5442 92
5442 2090 818
2090 6396 45
6396 10991 28
10991 10917 32
10917 5762 64
5762 9972 64
9972 4952 32
4952 10637 80
10637 3839 80
3839 11544 48
11544 794 48
794 10165 112
10165 8718 48
8718 8258 220
8258 4043 48
4043 8408 141
8408 274 32
274 10157 32
10157 8047 96
8047 3885 164
3885 8139 48
8139 6650 48
6650 498 80
498 4286 80
4286 5571 32
5571 5194 81
5194 4649 50
4649 9048 37
9048 8191 107
8191 3196 71
3196 11223 18
11223 10521 33
10521 4982 171
4982 1007 108
1007 6249 80
