11849 11849
5875 7196 60
7196 225 64
225 6640 64
6640 2772 128
2772 10872 64
10872 11362 32
11362 8410 80
8410 5683 48
5683 6441 172
6441 4423 130
4423 6200 79
6200 11584 65
11584 4871 32
4871 9739 69
9739 11667 33
11667 7795 32
7795 1621 32
1621 2541 32
2541 10862 32
10862 7860 32
7860 10357 32
10357 559 32
559 2048 32
2048 2956 32
2956 2508 63
2508 5686 129
5686 10765 137
10765 4474 33
4474 1565 32
1565 3078 83
3078 9946 51
9946 6741 41
6741 11402 119
11402 2895 17
2895 6160 33
6160 3114 69
3114 3052 96
3052 1641 32
1641 11208 36
11208 362 188
362 1222 91
1222 8154 111
8154 5306 76
5306 1410 17
1410 10774 33
10774 1211 32
1211 10772 33
10772 2623 18
2623 142 87
142 11619 144
11619 9949 80
9949 9518 96
9518 3788 48
3788 1210 27
1210 7285 18
7285 108 37
108 368 32
368 9824 162
9824 9810 141
9810 4960 53
4960 7710 110
7710 3266 96
3266 7254 111
7254 2113 87
2113 5692 72
5692 4613 65
4613 10354 32
10354 6103 32
6103 3417 32
3417 5791 64
5791 3761 32
3761 8971 32
8971 270 32
270 105 32
105 8572 32
8572 3267 64
3267 10116 32
10116 9097 32
9097 3172 32
3172 3916 32
3916 8040 128
8040 10716 85
10716 7514 32
7514 5911 32
5911 2753 64
2753 9589 32
9589 3002 32
3002 2357 32
2357 4157 64
4157 6101 64
6101 9883 32
9883 9859 64
9859 5257 32
5257 2001 32
2001 8117 32
8117 8204 32
8204 7404 69
7404 5251 34
5251 3564 94
3564 705 43
705 7319 96
7319 2110 89
2110 121 32
121 4256 32
4256 10997 32
10997 10573 32
10573 10490 64
10490 4947 32
4947 42 32
42 8588 32
8588 4595 65
4595 3977 27
3977 9244 107
9244 9236 110
9236 10846 110
10846 5810 110
5810 1698 110
1698 1341 128
1341 11349 110
11349 5852 110
5852 5474 110
5474 6606 112
6606 7910 80
7910 5279 117
5279 2585 112
2585 4178 110
4178 11154 185
11154 6297 94
6297 3449 111
3449 5081 176
5081 6686 96
6686 10283 64
10283 8877 32
8877 6481 32
6481 1534 32
1534 5915 96
5915 5859 64
5859 4934 64
4934 446 130
446 6669 92
6669 6783 110
6783 5025 224
5025 1320 64
1320 11745 64
11745 9507 85
9507 131 170
131 1536 110
1536 4107 80
4107 8791 96
8791 2308 110
2308 3747 160
3747 6412 17
6412 5691 36
5691 10269 96
10269 11138 32
11138 4904 32
4904 698 32
698 10830 64
10830 4053 32
4053 10099 32
10099 7570 32
7570 1670 32
1670 7251 69
7251 6074 99
6074 3796 28
3796 448 130
448 7878 32
7878 9168 32
9168 8199 32
8199 1259 32
1259 9 184
9 6615 32
6615 7401 32
7401 7983 32
7983 6466 32
6466 3414 64
3414 1950 32
1950 5777 69
5777 9982 37
9982 11686 89
11686 10027 81
10027 8020 33
8020 5286 64
5286 11474 69
11474 1798 32
1798 3945 32
3945 4265 32
4265 10933 32
10933 11179 195
11179 1500 32
1500 6874 32
6874 10759 69
10759 8147 33
8147 11636 79
11636 11264 89
11264 842 32
842 10358 100
10358 8905 111
8905 1725 91
1725 4634 136
4634 3253 43
3253 6487 44
6487 4046 43
4046 4184 61
4184 2241 92
2241 7839 96
7839 8699 59
8699 7469 123
7469 4789 92
4789 4768 43
4768 1112 107
1112 832 122
832 2344 71
2344 5487 57
5487 8981 91
8981 4925 60
4925 5697 71
5697 6105 39
6105 1623 69
1623 221 32
221 6822 44
6822 400 71
400 5617 75
5617 1173 33
1173 6503 32
6503 6426 64
6426 1675 33
1675 2833 69
2833 8509 64
8509 2268 32
2268 774 32
774 9973 44
9973 11699 55
11699 606 111
606 782 110
782 11535 128
11535 9578 64
9578 3460 64
3460 1358 64
1358 10248 64
10248 5664 110
5664 4139 64
4139 11729 111
11729 5831 59
5831 7478 110
7478 4884 110
4884 2447 110
2447 1316 128
1316 1178 80
1178 9922 110
9922 10040 80
10040 2204 110
2204 3329 80
3329 4961 110
4961 7719 80
7719 938 110
938 9747 80
9747 11412 110
11412 7243 80
7243 8695 111
8695 2173 71
2173 8708 52
8708 668 95
668 11748 32
11748 10442 51
10442 3948 42
3948 10525 81
10525 7148 32
7148 3409 33
3409 10514 94
10514 6008 71
6008 11630 88
11630 3391 69
3391 3700 105
3700 11572 44
11572 9932 27
9932 1590 44
1590 5027 33
5027 10804 70
10804 1717 28
1717 4805 96
4805 301 59
301 8519 130
8519 5809 64
5809 8771 60
8771 10650 39
10650 1312 33
1312 11009 32
11009 7402 32
7402 4582 69
4582 52 37
52 529 150
529 4033 89
4033 11684 73
11684 11814 94
11814 2323 59
2323 10893 64
10893 905 32
905 8667 32
8667 1673 32
1673 11406 112
11406 3349 80
3349 603 64
603 1073 64
1073 158 32
158 1557 111
1557 7709 55
7709 6603 46
6603 4296 18
4296 9416 113
9416 6878 74
6878 584 51
584 2672 51
2672 829 55
829 11084 94
11084 4158 27
4158 2057 60
2057 4840 111
4840 3483 128
3483 615 110
615 1965 110
1965 9180 110
9180 2712 110
2712 1718 110
1718 6053 116
6053 4136 44
4136 1032 48
1032 2096 48
2096 11196 32
11196 6984 64
6984 6667 64
6667 444 64
444 10126 80
10126 8909 110
8909 10677 110
10677 10383 110
10383 11427 112
11427 5837 87
5837 4255 105
4255 11032 87
11032 4494 41
4494 3397 116
3397 10658 110
10658 8766 128
8766 11508 112
11508 4089 110
4089 5832 112
5832 2845 111
2845 7890 41
7890 4852 55
4852 3597 73
3597 6899 112
6899 2840 112
2840 11220 110
11220 1160 112
1160 1440 110
1440 6534 112
6534 7600 128
7600 3379 110
3379 6785 110
6785 2284 128
2284 255 110
255 2377 110
2377 5656 146
5656 5291 96
5291 11007 64
11007 10266 64
10266 3150 64
3150 3892 64
3892 384 48
384 9374 64
9374 677 112
677 7242 96
7242 11823 32
11823 5227 32
5227 6978 110
6978 5514 64
5514 5737 110
5737 3366 64
3366 7024 110
7024 7273 64
7273 983 110
983 11360 64
11360 989 110
989 9335 64
9335 10069 110
10069 377 64
377 9505 144
9505 9537 110
9537 2035 110
2035 10981 48
10981 10402 121
10402 1142 110
1142 4272 110
4272 26 111
26 652 91
652 2605 111
2605 8919 71
8919 1059 27
1059 4212 81
4212 7645 32
7645 2940 64
2940 6006 32
6006 798 32
798 8263 91
8263 8880 68
8880 2376 60
2376 2710 48
2710 11171 32
11171 5013 64
5013 2616 110
2616 802 96
802 648 96
648 9414 64
9414 8424 64
8424 738 64
738 9311 64
9311 7900 64
7900 5904 96
5904 1334 96
1334 4851 128
4851 8655 110
8655 6299 128
6299 5056 64
5056 4544 149
4544 2138 111
2138 3636 32
3636 198 64
198 6540 64
6540 6122 64
6122 2779 98
2779 11501 17
11501 6996 78
6996 3925 18
3925 2788 78
2788 1610 59
1610 5314 84
5314 900 92
900 10603 123
10603 1339 110
1339 8976 110
8976 4491 110
4491 6662 110
6662 10331 110
10331 5511 116
5511 1691 183
1691 7762 53
7762 10175 121
10175 10122 64
10122 1234 110
1234 10092 64
10092 10732 85
10732 204 85
204 3484 32
3484 3199 32
3199 11079 32
11079 1559 96
1559 5385 110
5385 1605 128
1605 5415 64
5415 5503 110
5503 1894 64
1894 3323 128
3323 7660 128
7660 9558 96
9558 610 110
610 11191 96
11191 10924 110
10924 31 96
31 8099 111
8099 6780 84
6780 661 149
661 1298 111
1298 11271 111
11271 7253 112
7253 8620 71
8620 9391 44
9391 9092 135
9092 2684 28
2684 4832 64
4832 10274 64
10274 11546 155
11546 10217 81
10217 1596 108
1596 8126 87
8126 10144 17
10144 56 33
56 617 69
617 7101 64
7101 1799 72
1799 4301 62
4301 365 85
365 2039 91
2039 7103 62
7103 4955 62
4955 10014 60
10014 6018 128
6018 9651 149
9651 11575 111
11575 8217 96
8217 6572 110
6572 148 96
148 1792 110
1792 5157 96
5157 3676 110
3676 7920 96
7920 5235 99
5235 2465 39
2465 5217 110
5217 9113 110
9113 757 110
757 9689 96
9689 8580 111
8580 8881 89
8881 3722 111
3722 7566 48
7566 3169 128
3169 11766 110
11766 4259 110
4259 809 110
809 1677 96
1677 10793 110
10793 5312 110
5312 3071 96
3071 10998 110
10998 4578 192
4578 543 110
543 9823 111
9823 5433 25
5433 4457 112
4457 5578 111
5578 7968 92
7968 5369 131
5369 4892 111
4892 7957 110
7957 8345 110
8345 6485 110
6485 7383 107
7383 8094 82
8094 6901 46
6901 9021 112
9021 9149 83
9149 4626 99
4626 2459 154
2459 3447 110
3447 7394 110
7394 4493 110
4493 11611 176
11611 10940 112
10940 5120 110
5120 867 112
867 8394 110
8394 5731 110
5731 8693 112
8693 10537 110
10537 11502 99
11502 3320 99
3320 5971 110
5971 7655 154
7655 1655 111
1655 10886 87
10886 3894 111
3894 10041 110
10041 3833 110
3833 9563 110
9563 1463 111
1463 2 87
2 6239 137
6239 4888 111
4888 1457 110
1457 10528 110
10528 3371 110
3371 9755 139
9755 710 89
710 5797 71
5797 8546 111
8546 9754 64
9754 9838 96
9838 4854 144
4854 1649 110
1649 2250 110
2250 10064 110
10064 6192 110
6192 1503 110
1503 3109 75
3109 10050 130
10050 10454 110
10454 969 110
969 3512 110
3512 1148 110
1148 8473 128
8473 1381 110
1381 2806 110
2806 8129 110
8129 1408 110
1408 4152 111
4152 4799 105
4799 3015 33
3015 8537 32
8537 2443 59
2443 46 92
46 6694 112
6694 5922 123
5922 5076 110
5076 6902 108
6902 7362 43
7362 6030 69
6030 5962 72
5962 8490 55
8490 5381 39
5381 730 37
730 6889 32
6889 499 96
499 3087 33
3087 4174 64
4174 9873 76
9873 11023 123
11023 5495 77
5495 2822 43
2822 5466 69
5466 3304 65
3304 9207 69
9207 11760 32
11760 5029 64
5029 5824 32
5824 8547 64
8547 9101 64
9101 5658 32
5658 589 158
589 875 96
875 5889 64
5889 9686 96
9686 10416 110
10416 4024 96
4024 4295 64
4295 1825 96
1825 340 110
340 4368 96
4368 8518 64
8518 2858 96
2858 4987 110
4987 2896 96
2896 1876 64
1876 7289 96
7289 5560 110
5560 6488 96
6488 5667 64
5667 8056 96
8056 6265 110
6265 5856 96
5856 9148 64
9148 7609 96
7609 2810 155
2810 2408 47
2408 5140 17
5140 3457 112
3457 2259 128
2259 613 48
613 7136 48
7136 3854 48
3854 1919 32
1919 3095 48
3095 9765 48
9765 8083 32
8083 11759 32
11759 4814 96
4814 3362 96
3362 6347 48
6347 1013 64
1013 3185 48
3185 6207 32
6207 9190 32
9190 1350 32
1350 11266 80
11266 7487 96
7487 1428 144
1428 10141 211
10141 11157 139
11157 2897 111
2897 3947 32
3947 10541 48
10541 10384 64
10384 7406 48
7406 5981 64
5981 10775 64
10775 10231 80
10231 7519 110
7519 3257 80
3257 3471 64
3471 9351 59
9351 1714 125
1714 5773 64
5773 11088 80
11088 3903 112
3903 8915 111
8915 3029 137
3029 5146 55
5146 1269 111
1269 203 64
203 653 67
653 5572 17
5572 4123 112
4123 10471 85
10471 1689 37
1689 4949 114
4949 1195 107
1195 10897 146
10897 9319 18
9319 4473 130
4473 2178 110
2178 7066 110
7066 6424 110
6424 9224 157
9224 6537 146
6537 8966 110
8966 1060 110
1060 9674 110
9674 752 176
752 432 110
432 250 110
250 5657 91
5657 7092 137
7092 8927 25
8927 11665 60
11665 6921 80
6921 9380 96
9380 1774 112
1774 10604 80
10604 10571 111
10571 2392 75
2392 10779 60
10779 2427 68
2427 231 112
231 7766 80
7766 11177 64
11177 9898 64
9898 10093 91
10093 1309 50
1309 1994 65
1994 10629 88
10629 2929 128
2929 11168 111
11168 6573 32
6573 8440 48
8440 2714 48
2714 4517 32
4517 11141 84
11141 7318 207
7318 9333 80
9333 8849 80
8849 9432 112
9432 3042 80
3042 595 112
595 2925 108
2925 5292 17
5292 7156 37
7156 104 64
104 4727 96
4727 8531 32
8531 8298 32
8298 7348 160
7348 3995 32
3995 2451 191
2451 11806 80
11806 807 112
807 5008 80
5008 3807 59
3807 2889 54
2889 10037 72
10037 8067 63
8067 3848 39
3848 5784 39
5784 5152 36
5152 3474 17
3474 5788 65
5788 10095 32
10095 3497 33
3497 7432 71
7432 8025 107
8025 2704 112
2704 5397 154
5397 4016 182
4016 1783 32
1783 11357 32
11357 1325 32
1325 8840 32
8840 4896 32
4896 11242 32
11242 9516 158
9516 8626 96
8626 1818 64
1818 8283 96
8283 10264 84
10264 2608 84
2608 7104 92
7104 4886 151
4886 11751 73
11751 10889 116
10889 11712 112
11712 6183 96
6183 8514 110
8514 8123 96
8123 374 84
374 2456 46
2456 10504 64
10504 8432 48
8432 9681 48
9681 4306 133
4306 2981 207
2981 7638 110
7638 5972 111
5972 725 111
725 9637 110
9637 2773 154
2773 7255 174
7255 926 32
926 514 155
514 830 154
830 11225 110
11225 3491 110
3491 5115 111
5115 2594 111
2594 7538 128
7538 2386 32
2386 10403 96
10403 5532 109
5532 881 50
881 9943 106
9943 2111 96
2111 10407 32
10407 7207 64
7207 10957 96
10957 4875 110
4875 11340 89
11340 9444 96
9444 4813 223
4813 2150 32
2150 11261 32
11261 11808 48
11808 6026 48
6026 9910 27
9910 6400 50
6400 10881 32
10881 4993 114
4993 8612 69
8612 4392 96
4392 3583 64
3583 5961 32
5961 9018 50
9018 9027 18
9027 3755 98
3755 9708 46
9708 3019 84
3019 5802 59
5802 5779 112
5779 7723 80
7723 4260 112
4260 3287 110
3287 1002 110
1002 9331 148
9331 6735 46
6735 1690 46
1690 5914 84
5914 3774 110
3774 10096 96
10096 5005 110
5005 11543 84
11543 2977 46
2977 1646 154
1646 9034 96
9034 10365 176
10365 2590 112
2590 6219 160
6219 5527 32
5527 9654 32
9654 8954 48
8954 10082 48
10082 7859 132
7859 10632 32
10632 873 32
873 10817 32
10817 4585 174
4585 4615 191
4615 11628 32
11628 8350 32
8350 6509 32
6509 3910 96
3910 11018 32
11018 5726 160
5726 4445 75
4445 6227 48
6227 10448 48
10448 496 124
496 10826 127
10826 9742 69
9742 9451 32
9451 5967 32
5967 11102 32
11102 1445 96
1445 2707 32
2707 7323 67
7323 8883 50
8883 11580 28
11580 7507 32
7507 1247 32
1247 886 64
886 11389 64
11389 1606 32
1606 11252 111
11252 1184 71
1184 642 170
642 561 110
561 1467 96
1467 816 64
816 1175 64
1175 776 32
776 11115 146
11115 8511 96
8511 2630 111
2630 6000 108
6000 5074 149
5074 237 64
237 217 96
217 8035 123
8035 8583 71
8583 6691 116
6691 1301 32
1301 2853 32
2853 8439 64
8439 2767 64
2767 5586 32
5586 1279 48
1279 483 48
483 4897 48
4897 9428 64
9428 11615 112
11615 10102 160
10102 1762 112
1762 1937 48
1937 7144 32
7144 8557 48
8557 2934 48
2934 11364 44
11364 11289 107
11289 2611 89
2611 4289 96
4289 2519 64
2519 6790 32
6790 8914 173
8914 4783 139
4783 8940 154
8940 3020 110
3020 3031 110
3031 9738 110
9738 11248 110
11248 8198 110
8198 8029 139
8029 5819 208
5819 9293 96
9293 6765 43
6765 7082 112
7082 2153 69
2153 6498 97
6498 3615 32
3615 1417 65
1417 1448 33
1448 9811 32
9811 2751 59
2751 9264 89
9264 10948 128
10948 1912 32
1912 2464 146
2464 951 64
951 11722 189
11722 8777 99
8777 880 129
880 3624 32
3624 8111 32
8111 7602 64
7602 5240 128
5240 8508 146
8508 6305 89
6305 7081 64
7081 7915 85
7915 6368 69
6368 2397 72
2397 2665 55
2665 11267 86
11267 4967 65
4967 4575 79
4575 9769 68
9769 7608 69
7608 2597 39
2597 3451 50
3451 2524 60
2524 5492 96
5492 4447 64
4447 575 84
575 5329 64
5329 5587 84
5587 1067 64
1067 2760 96
2760 9032 80
9032 549 91
549 8897 77
8897 3018 55
3018 4143 111
4143 5364 32
5364 4342 32
4342 5853 32
5853 697 32
697 10635 32
10635 5419 32
5419 6508 96
6508 6770 32
6770 6559 44
6559 7197 104
7197 8814 142
8814 4562 32
4562 4900 27
4900 4880 50
4880 5722 92
5722 8266 182
8266 11456 54
11456 1465 71
1465 7862 91
7862 360 195
360 784 32
784 3875 48
3875 10297 112
10297 3224 32
3224 91 32
91 5203 32
5203 10036 32
10036 1587 32
1587 3946 75
3946 11602 27
11602 8422 59
8422 4563 32
4563 6120 59
6120 10926 40
10926 10810 98
10810 516 84
516 488 111
488 4418 68
4418 2757 112
2757 3540 48
3540 481 32
481 9546 32
9546 11567 108
11567 9387 26
9387 2689 231
2689 2043 55
2043 8326 17
8326 7560 65
7560 6322 64
6322 6369 32
6369 1326 32
1326 6163 32
6163 10351 32
10351 5482 32
5482 7636 32
7636 805 32
805 4297 32
4297 2474 147
2474 5782 110
5782 7279 110
7279 5820 128
5820 11245 64
11245 10557 32
10557 308 80
308 10049 73
10049 2770 73
2770 7976 48
7976 3769 32
3769 4163 96
4163 103 64
103 9831 64
9831 4209 110
4209 7939 128
7939 9576 96
9576 4032 80
4032 4668 144
4668 2673 110
2673 6660 85
6660 8486 85
8486 390 110
390 8700 96
8700 4316 110
4316 3067 64
3067 4712 64
4712 6318 110
6318 8275 160
8275 5783 64
5783 639 32
639 3236 111
3236 140 73
140 1697 116
1697 9676 110
9676 4283 123
4283 11528 18
11528 6484 96
6484 4797 17
4797 5246 55
5246 10513 44
10513 2768 32
2768 10376 64
10376 8505 128
8505 5151 53
5151 4144 23
4144 8923 86
8923 11817 130
11817 11820 80
11820 1274 96
1274 10261 110
10261 7592 147
7592 796 128
796 9007 88
9007 9323 70
9323 9431 64
9431 7093 64
7093 5212 85
5212 8682 85
8682 8259 64
8259 10783 96
10783 9843 112
9843 11282 110
11282 8224 112
8224 1346 85
1346 8407 64
8407 7991 96
7991 3080 96
3080 11603 64
11603 3498 64
3498 3107 32
3107 8119 64
8119 7060 64
7060 417 64
417 6033 192
6033 8017 160
8017 11082 32
11082 273 32
273 6747 32
6747 5582 81
5582 1256 50
1256 1988 73
1988 8354 64
8354 5965 64
5965 10832 99
10832 2539 35
2539 2729 71
2729 11036 18
11036 5569 43
5569 3771 64
3771 2882 169
2882 3836 32
3836 2106 32
2106 5956 64
5956 11232 64
11232 10901 64
10901 7857 96
7857 11717 32
11717 11764 32
11764 3518 64
3518 1061 64
1061 4393 64
4393 2086 32
2086 482 32
482 6946 110
6946 8756 64
8756 8285 110
8285 8155 64
8155 1101 110
1101 6705 64
6705 6520 128
6520 3093 64
3093 8438 64
8438 1960 155
1960 4267 128
4267 6119 91
6119 9941 64
9941 10853 64
10853 1227 64
1227 10451 64
10451 11437 64
11437 11028 64
11028 11193 64
11193 1367 85
1367 1537 64
1537 10925 64
10925 8091 64
8091 10109 64
10109 3790 81
3790 8993 111
8993 10987 48
10987 8591 43
8591 6486 105
6486 2988 69
2988 547 32
547 134 97
134 11819 50
11819 11218 55
11218 2639 199
2639 7368 110
7368 2240 110
2240 5970 250
5970 3072 275
3072 2358 165
2358 3021 17
3021 9425 36
9425 1373 69
1373 9586 32
9586 6933 69
6933 525 32
525 3841 32
3841 3342 32
3342 6233 32
6233 2706 32
2706 9920 32
9920 5588 32
5588 748 58
748 7869 55
7869 6583 39
6583 11801 33
11801 893 37
893 669 18
669 1342 59
1342 3008 80
3008 4685 80
4685 9150 80
9150 1931 80
1931 10292 32
10292 1881 32
1881 10003 32
10003 7495 32
7495 3709 32
3709 7054 32
7054 5059 60
5059 11688 72
11688 7883 81
7883 6161 69
6161 5126 32
5126 1535 64
1535 11651 64
11651 6550 64
6550 11 32
11 5462 96
5462 2460 33
2460 5273 17
5273 1163 55
1163 3034 73
3034 10118 64
10118 10333 43
10333 8358 60
8358 10795 110
10795 9253 154
9253 55 111
55 1995 50
1995 9484 34
9484 747 50
747 1679 169
1679 4571 55
4571 9453 73
9453 9111 55
9111 7526 44
7526 8044 72
8044 7018 28
7018 783 27
783 9774 125
9774 11581 140
11581 8460 73
8460 6286 112
6286 9024 64
9024 2501 96
2501 5732 85
5732 3051 64
3051 6750 64
6750 6846 64
6846 1308 64
1308 988 64
988 10737 131
10737 1895 89
1895 8902 81
8902 7516 85
7516 4145 96
4145 5093 128
5093 1943 64
1943 6827 96
6827 7863 32
7863 2046 32
2046 3863 32
3863 315 32
315 2279 64
2279 6345 48
6345 864 48
864 5407 32
5407 4131 32
4131 10825 96
10825 11126 32
11126 764 28
764 11523 138
11523 5459 69
5459 8466 85
8466 8176 32
8176 4045 32
4045 1250 64
1250 5141 96
5141 5307 32
5307 7467 89
7467 6715 194
6715 11749 75
11749 1455 48
1455 2503 48
2503 5719 32
5719 5405 32
5405 7961 150
7961 5019 139
5019 8319 110
8319 8540 112
8540 5989 115
5989 9648 32
9648 3129 140
3129 8639 62
8639 11086 71
11086 2942 54
2942 11649 139
11649 2504 64
2504 11703 44
11703 6904 146
6904 515 116
515 4195 110
4195 6980 176
6980 11573 121
11573 10982 48
10982 5480 112
5480 6136 117
6136 4627 27
4627 4443 28
4443 4341 115
4341 6302 82
6302 3436 98
3436 1626 48
1626 3235 96
3235 548 64
548 2521 64
2521 9061 166
9061 10985 27
10985 1834 32
1834 10304 32
10304 9075 32
9075 3325 48
3325 11243 48
11243 11715 64
11715 7206 96
7206 4299 96
4299 10711 64
10711 7701 64
7701 9996 80
9996 4408 64
4408 11189 48
11189 9462 96
9462 11689 146
11689 11297 112
11297 4402 144
4402 3970 110
3970 3976 60
3976 4088 126
4088 3069 64
3069 6530 32
6530 4327 48
4327 7829 64
7829 8240 48
8240 2470 64
2470 1979 64
1979 63 112
63 5254 80
5254 2189 64
2189 2177 176
2177 7440 110
7440 3939 123
3939 6313 117
6313 4824 160
4824 4293 111
4293 1004 55
1004 4371 92
4371 11784 62
11784 11323 102
11323 10623 123
10623 8876 32
8876 2650 69
2650 10978 187
10978 381 85
381 8947 111
8947 6600 32
6600 10762 69
10762 10106 32
10106 7155 32
7155 9437 32
9437 10459 32
10459 3421 96
3421 8195 32
8195 8022 32
8022 7260 32
7260 11111 64
11111 9719 64
9719 4739 96
4739 6769 32
6769 1629 64
1629 9353 32
9353 10475 32
10475 6563 32
6563 5090 32
5090 4601 64
4601 2050 64
2050 9016 32
9016 189 64
189 5357 111
5357 3872 122
3872 5730 76
5730 8026 96
8026 6310 64
6310 10132 110
10132 8093 32
8093 10930 32
10930 856 48
856 1336 48
1336 4686 32
4686 4759 32
4759 10560 48
10560 4833 64
4833 6234 64
6234 5612 48
5612 10420 32
10420 4484 28
4484 8875 66
8875 10764 33
10764 6523 62
6523 3933 111
3933 8916 96
8916 8293 64
8293 6208 112
6208 9759 112
9759 659 64
659 5544 96
5544 11753 64
11753 3315 110
3315 1889 32
1889 17 32
17 8887 48
8887 11292 48
11292 4064 32
4064 11597 32
11597 3744 48
3744 2955 64
2955 11041 64
11041 5358 48
5358 2675 32
2675 3928 32
3928 2655 32
2655 8310 64
8310 7985 80
7985 5870 48
5870 7160 32
7160 11816 32
11816 3782 48
3782 1832 48
1832 11013 64
11013 2859 114
2859 10424 91
10424 1983 64
1983 2866 96
2866 1191 64
1191 5729 112
5729 6706 80
6706 5383 64
5383 592 160
592 8386 110
8386 7741 80
7741 9865 80
9865 7721 32
7721 1913 32
1913 6222 32
6222 1203 48
1203 11607 64
11607 2243 48
2243 3679 32
3679 952 32
952 4671 48
4671 7431 48
7431 10128 32
10128 8043 32
8043 6738 128
6738 2003 64
2003 5421 128
5421 5067 96
5067 10066 64
10066 3296 110
3296 3126 64
3126 5522 96
5522 3943 130
3943 7530 55
7530 787 111
787 2950 64
2950 8101 60
8101 778 89
778 3116 123
3116 2012 64
2012 3183 112
3183 1327 80
1327 11130 64
11130 169 160
169 3732 146
3732 5756 96
5756 11641 32
11641 3086 115
3086 5709 80
5709 2903 137
2903 3413 80
3413 5931 110
5931 11401 80
11401 11426 125
11426 3401 55
3401 2273 116
2273 10931 33
10931 2144 69
2144 8957 64
8957 1631 32
1631 8738 32
8738 7390 64
7390 6866 38
6866 6209 44
6209 7901 48
7901 3988 120
3988 908 69
908 11265 32
11265 1194 64
1194 8920 33
8920 8701 17
8701 8813 76
8813 1100 154
1100 2828 155
2828 10218 99
10218 7851 37
7851 2622 64
2622 2098 33
2098 4728 69
4728 4790 64
4790 9807 64
9807 2952 32
2952 4643 64
4643 7720 64
7720 7022 32
